gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	estrogen_responsive	significant	significant_relaxed
ENSG00000141753.7	60362.797690815976	0.6623171819844323	0.1728505896654049	3.831732268119601	1.2724416744248418e-4	0.024368843019301256	IGFBP4	TRUE	TRUE	TRUE
ENSG00000171345.13	427.92575891408273	1.7120611083547816	0.5127788937813761	3.3387901279039793	8.414411050077767e-4	0.05744033474592962	KRT19	TRUE	FALSE	TRUE
ENSG00000160180.17	248.23721504887385	1.945279989034582	0.5884944150038697	3.3055198816488187	9.480037806713906e-4	0.060758450705901954	TFF3	TRUE	FALSE	TRUE
ENSG00000170421.13	771.1263348259922	0.90492859390986	0.2894158531901347	3.1267416208722953	0.0017675519439013876	0.07960103623551669	KRT8	TRUE	FALSE	TRUE
ENSG00000087088.21	1540.242912977443	0.29011900226733844	0.098420463884934	2.9477508113203403	0.003200949731396201	0.10188502407044736	BAX	TRUE	FALSE	FALSE
ENSG00000026025.16	136508.8125114234	-0.2228470548523068	0.09076858140968302	-2.455112235879164	0.014084060788039766	0.1831672145401352	VIM	TRUE	FALSE	FALSE
ENSG00000125730.17	61278.4639027486	0.5871869329324434	0.24159144328003695	2.4304955712020595	0.015078190330839748	0.18739854301480588	C3	TRUE	FALSE	FALSE
ENSG00000177606.8	47565.09567856427	0.640869466539633	0.29146131009069376	2.198814883320926	0.027891087778997216	0.23995414105196244	JUN	TRUE	FALSE	FALSE
ENSG00000100985.7	1527.2302385560856	0.8616585088773819	0.41816109455266764	2.0605898542501913	0.039342185502818885	0.27957556689860025	MMP9	TRUE	FALSE	FALSE
ENSG00000129514.8	12.517137779628781	0.9492530359539679	0.47905066389859685	1.9815295280644913	0.04753192135000157	0.30053979595200425	FOXA1	TRUE	FALSE	FALSE
ENSG00000039068.20	73.28025543987775	0.9446626036561186	0.5038402425495337	1.8749248747498501	0.060803059430809304	0.3336663402741427	CDH1	TRUE	FALSE	FALSE
ENSG00000171791.14	3845.566575985321	-0.3159299803752455	0.16945138139294605	-1.864428473690785	0.06226155739287437	0.3362225076286774	BCL2	TRUE	FALSE	FALSE
ENSG00000087245.13	96235.62345358098	0.5770381402471706	0.3103993701101975	1.8590183995615435	0.06302453039858623	0.33708198640346215	MMP2	TRUE	FALSE	FALSE
ENSG00000136997.21	8524.040516311696	0.3671545562515903	0.20976302836932567	1.7503301659296626	0.0800613585219802	0.37147298506387744	MYC	TRUE	FALSE	FALSE
ENSG00000122691.13	1911.4422910235305	-0.27837367399523594	0.16048102411776652	-1.7346204981279014	0.08280804632518333	0.3769369241976374	TWIST1	TRUE	FALSE	FALSE
ENSG00000141736.14	2176.5205105365167	0.24302771254653305	0.1464252601488813	1.6597389842396657	0.09696697316512798	0.40127490181196046	ERBB2	TRUE	FALSE	FALSE
ENSG00000131747.15	210.9794856874155	-0.5294659925071976	0.3265501627434812	-1.6213925237670614	0.10493348312991939	0.4147006253329809	TOP2A	TRUE	FALSE	FALSE
ENSG00000140009.19	434.296694915909	-0.3849943233011726	0.25194108238188884	-1.5281125240130686	0.12648460248336763	0.4531098717441823	ESR2	TRUE	FALSE	FALSE
ENSG00000145824.13	18932.646051446187	0.535060643420166	0.35930457757230805	1.4891562112438939	0.1364462385995896	0.4689517432504911	CXCL14	TRUE	FALSE	FALSE
ENSG00000117984.15	40918.46492815265	-0.22174873697437142	0.1696001768963225	-1.307479396733929	0.19104994780181522	0.5383461444944264	CTSD	TRUE	FALSE	FALSE
ENSG00000179388.9	893.8169192793953	0.3604085740079322	0.29162330721247387	1.23587026514771	0.21650679136863632	0.5649081540392361	EGR3	TRUE	FALSE	FALSE
ENSG00000110092.4	8986.223580963851	-0.3578974520623777	0.301088646341504	-1.1886780069961171	0.234566398266324	0.5837050363977387	CCND1	TRUE	FALSE	FALSE
ENSG00000146648.20	12231.818326786335	-0.144470801373008	0.14171837421736863	-1.0194218087163325	0.3080027568614799	0.6527074628246614	EGFR	TRUE	FALSE	FALSE
ENSG00000091831.25	727.1334063006572	-0.1489172165111004	0.15698133169371747	-0.9486301008176515	0.3428087761176401	0.6794997970754867	ESR1	TRUE	FALSE	FALSE
ENSG00000120738.8	17951.40853796838	0.37057847501265934	0.4207717358551446	0.8807114248287702	0.3784740314914067	0.7058825026359062	EGR1	TRUE	FALSE	FALSE
ENSG00000196611.6	21.111644693872112	0.5868660875866252	0.6755548205390582	0.8687171932521124	0.3850018349547951	0.7117600264723373	MMP1	TRUE	FALSE	FALSE
ENSG00000148516.23	7468.846885616195	0.08136907628799007	0.10057838290610303	0.8090115782031791	0.4185084864843046	0.7375106031629199	ZEB1	TRUE	FALSE	FALSE
ENSG00000117724.14	161.75326209598848	-0.19208296565312877	0.24407428839357767	-0.7869856629199253	0.4312902589999197	0.7465078869390629	CENPF	TRUE	FALSE	FALSE
ENSG00000087586.18	116.3854637086552	-0.120387185790741	0.16137608673274184	-0.7460038734866375	0.4556650751470414	0.7614095603414878	AURKA	TRUE	FALSE	FALSE
ENSG00000112715.26	17142.01920724958	-0.18512535254437715	0.2962483120383345	-0.6248992653177444	0.5320371745603776	0.8083698912343056	VEGFA	TRUE	FALSE	FALSE
ENSG00000196208.14	374.5389300616035	-0.21481314270031274	0.36303704910581397	-0.5917113507544554	0.5540438943781346	0.819553284691097	GREB1	TRUE	FALSE	FALSE
ENSG00000115461.5	100690.97441040176	0.11332376029784061	0.19403733329569395	0.5840307036437481	0.5591996550640417	0.822985176823639	IGFBP5	TRUE	FALSE	FALSE
ENSG00000148773.14	289.3301250088822	-0.21683977273436614	0.3749481669158772	-0.5783193301569494	0.5630485461703457	0.8252122712236325	MKI67	TRUE	FALSE	FALSE
ENSG00000170345.10	22430.590496751985	0.17212503235327667	0.3673880755915974	0.4685101226437665	0.6394198337887009	0.8614046192146009	FOS	TRUE	FALSE	FALSE
ENSG00000107562.17	25313.851901958395	0.11699896638599487	0.250094969122111	0.4678181524270052	0.6399146382798977	0.8614750412826657	CXCL12	TRUE	FALSE	FALSE
ENSG00000140443.15	4778.279390737875	0.056664469250873345	0.14047428536489273	0.40337965844555135	0.6866689487415585	0.8817937088319152	IGF1R	TRUE	FALSE	FALSE
ENSG00000082175.16	864.0081469974027	0.057322540667345163	0.1658145378050356	0.3457027437168681	0.7295661220751091	0.9012872781197657	PGR	TRUE	FALSE	FALSE
ENSG00000124216.4	1000.4646749721101	0.07697527391545743	0.25724138878667074	0.2992336275220964	0.7647617930201489	0.9154894586882422	SNAI1	TRUE	FALSE	FALSE
ENSG00000019549.13	1916.8501343850633	0.038508954407181696	0.17834171817382272	0.21592790964169428	0.8290439414947177	0.9374488928601119	SNAI2	TRUE	FALSE	FALSE
ENSG00000166851.15	142.24883002162306	0.03683710923501282	0.1755523638672018	0.20983544979706792	0.8337961040138175	0.9391872555829324	PLK1	TRUE	FALSE	FALSE
ENSG00000132646.11	1754.9272520345514	-0.01083073579317944	0.08356637148407406	-0.1296063907147571	0.8968778468398265	0.9629573650394853	PCNA	TRUE	FALSE	FALSE
ENSG00000107485.18	562.7300844594835	0.027702998507251213	0.26504888479251204	0.10452033604645393	0.9167564308335414	0.970044420236716	GATA3	TRUE	FALSE	FALSE
ENSG00000170558.10	30.933790298576113	-0.012446518796361035	0.38041442022040567	-0.032718314908119765	0.9738992185251791	0.989497534355089	CDH2	TRUE	FALSE	FALSE
ENSG00000160182.3	3.1672048854091597	-0.990682449426082	1.0752224211176538	-0.9213744337625552	0.35685497193568627	NA	TFF1	TRUE	NA	NA
