gene_id,gene_symbol
ENSG00000276861.1,5S_rRNA
ENSG00000277411.1,5S_rRNA
ENSG00000277488.1,5S_rRNA
ENSG00000285626.1,5S_rRNA
ENSG00000285674.1,5S_rRNA
ENSG00000285776.1,5S_rRNA
ENSG00000285912.1,5S_rRNA
ENSG00000288601.1,5S_rRNA
ENSG00000276871.1,5_8S_rRNA
ENSG00000277739.1,5_8S_rRNA
ENSG00000283274.1,5_8S_rRNA
ENSG00000283291.1,5_8S_rRNA
ENSG00000283568.1,5_8S_rRNA
ENSG00000271394.1,7SK
ENSG00000273591.1,7SK
ENSG00000274303.1,7SK
ENSG00000275933.1,7SK
ENSG00000277313.1,7SK
ENSG00000197976.12_PAR_Y,AKAP17A
ENSG00000254978.2,ALG1L9P
ENSG00000237801.6_PAR_Y,AMD1P2
ENSG00000271147.8,ARMCX5-GPRASP2
ENSG00000196433.13_PAR_Y,ASMT
ENSG00000169093.16_PAR_Y,ASMTL
ENSG00000236017.8_PAR_Y,ASMTL-AS1
ENSG00000002586.20_PAR_Y,CD99
ENSG00000223773.8_PAR_Y,CD99P1
ENSG00000261737.1,CLCA4-AS1
ENSG00000205755.12_PAR_Y,CRLF2
ENSG00000198223.17_PAR_Y,CSF2RA
ENSG00000271858.5,CYB561D2
ENSG00000227159.8_PAR_Y,DDX11L16
ENSG00000169084.15_PAR_Y,DHRSX
ENSG00000223571.6_PAR_Y,DHRSX-IT1
ENSG00000227540.1,DNAJC9-AS1
ENSG00000237040.6_PAR_Y,DPH3P2
ENSG00000243902.6,ELFN2
ENSG00000228410.6_PAR_Y,ELOCP24
ENSG00000223511.7_PAR_Y,ENSG00000223511
ENSG00000228572.7_PAR_Y,ENSG00000228572
ENSG00000234622.6_PAR_Y,ENSG00000234622
ENSG00000237531.6_PAR_Y,ENSG00000237531
ENSG00000280767.3_PAR_Y,ENSG00000280767
ENSG00000281849.3_PAR_Y,ENSG00000281849
ENSG00000289007.1_PAR_Y,ENSG00000289007
ENSG00000289620.1_PAR_Y,ENSG00000289620
ENSG00000234958.6_PAR_Y,FABP5P13
ENSG00000251623.2,FAM153B
ENSG00000261480.1,GOLGA8M
ENSG00000178605.13_PAR_Y,GTPBP6
ENSG00000281909.1,HERC2P7
ENSG00000185291.12_PAR_Y,IL3RA
ENSG00000124334.18_PAR_Y,IL9R
ENSG00000229232.6_PAR_Y,KRT18P53
ENSG00000230542.6_PAR_Y,LINC00102
ENSG00000236871.7_PAR_Y,LINC00106
ENSG00000229694.8,LINC00484
ENSG00000236854.2,LINC00486
ENSG00000226179.6_PAR_Y,LINC00685
ENSG00000272342.1,LINC01115
ENSG00000289524.1,LINC01214
ENSG00000237940.3,LINC01238
ENSG00000253414.3,LINC01605
ENSG00000289083.1,LINC02256
ENSG00000265658.6_PAR_Y,MIR3690
ENSG00000277120.5_PAR_Y,MIR6089
ENSG00000197334.2,Metazoa_SRP
ENSG00000203286.5,Metazoa_SRP
ENSG00000203411.3,Metazoa_SRP
ENSG00000203436.2,Metazoa_SRP
ENSG00000203573.4,Metazoa_SRP
ENSG00000213167.3,Metazoa_SRP
ENSG00000214305.4,Metazoa_SRP
ENSG00000237261.2,Metazoa_SRP
ENSG00000237611.2,Metazoa_SRP
ENSG00000255851.2,Metazoa_SRP
ENSG00000258045.2,Metazoa_SRP
ENSG00000264809.2,Metazoa_SRP
ENSG00000268154.2,Metazoa_SRP
ENSG00000269103.2,Metazoa_SRP
ENSG00000273524.1,Metazoa_SRP
ENSG00000273549.1,Metazoa_SRP
ENSG00000273566.1,Metazoa_SRP
ENSG00000273573.1,Metazoa_SRP
ENSG00000273710.1,Metazoa_SRP
ENSG00000273725.1,Metazoa_SRP
ENSG00000273829.1,Metazoa_SRP
ENSG00000273846.1,Metazoa_SRP
ENSG00000273866.1,Metazoa_SRP
ENSG00000273886.1,Metazoa_SRP
ENSG00000273913.1,Metazoa_SRP
ENSG00000273950.1,Metazoa_SRP
ENSG00000273975.1,Metazoa_SRP
ENSG00000273979.1,Metazoa_SRP
ENSG00000273986.1,Metazoa_SRP
ENSG00000274008.1,Metazoa_SRP
ENSG00000274011.1,Metazoa_SRP
ENSG00000274017.1,Metazoa_SRP
ENSG00000274079.1,Metazoa_SRP
ENSG00000274135.1,Metazoa_SRP
ENSG00000274206.1,Metazoa_SRP
ENSG00000274216.1,Metazoa_SRP
ENSG00000274357.1,Metazoa_SRP
ENSG00000274459.1,Metazoa_SRP
ENSG00000274505.1,Metazoa_SRP
ENSG00000274510.1,Metazoa_SRP
ENSG00000274514.1,Metazoa_SRP
ENSG00000274589.1,Metazoa_SRP
ENSG00000274660.1,Metazoa_SRP
ENSG00000274686.1,Metazoa_SRP
ENSG00000274701.1,Metazoa_SRP
ENSG00000274704.1,Metazoa_SRP
ENSG00000274711.1,Metazoa_SRP
ENSG00000274742.1,Metazoa_SRP
ENSG00000274772.1,Metazoa_SRP
ENSG00000274799.1,Metazoa_SRP
ENSG00000274841.1,Metazoa_SRP
ENSG00000274848.1,Metazoa_SRP
ENSG00000274860.1,Metazoa_SRP
ENSG00000274883.1,Metazoa_SRP
ENSG00000275041.1,Metazoa_SRP
ENSG00000275070.1,Metazoa_SRP
ENSG00000275213.1,Metazoa_SRP
ENSG00000275222.1,Metazoa_SRP
ENSG00000275287.5,Metazoa_SRP
ENSG00000275287.5_PAR_Y,Metazoa_SRP
ENSG00000275293.1,Metazoa_SRP
ENSG00000275319.1,Metazoa_SRP
ENSG00000275355.1,Metazoa_SRP
ENSG00000275362.1,Metazoa_SRP
ENSG00000275460.1,Metazoa_SRP
ENSG00000275586.1,Metazoa_SRP
ENSG00000275642.1,Metazoa_SRP
ENSG00000275680.1,Metazoa_SRP
ENSG00000275696.1,Metazoa_SRP
ENSG00000275788.1,Metazoa_SRP
ENSG00000275808.1,Metazoa_SRP
ENSG00000275840.1,Metazoa_SRP
ENSG00000275853.1,Metazoa_SRP
ENSG00000275881.1,Metazoa_SRP
ENSG00000275901.1,Metazoa_SRP
ENSG00000275909.1,Metazoa_SRP
ENSG00000275975.1,Metazoa_SRP
ENSG00000275978.1,Metazoa_SRP
ENSG00000276002.1,Metazoa_SRP
ENSG00000276096.1,Metazoa_SRP
ENSG00000276123.1,Metazoa_SRP
ENSG00000276193.1,Metazoa_SRP
ENSG00000276202.1,Metazoa_SRP
ENSG00000276213.1,Metazoa_SRP
ENSG00000276353.1,Metazoa_SRP
ENSG00000276359.1,Metazoa_SRP
ENSG00000276396.1,Metazoa_SRP
ENSG00000276493.1,Metazoa_SRP
ENSG00000276532.1,Metazoa_SRP
ENSG00000276568.1,Metazoa_SRP
ENSG00000276601.1,Metazoa_SRP
ENSG00000276645.1,Metazoa_SRP
ENSG00000276669.1,Metazoa_SRP
ENSG00000276713.1,Metazoa_SRP
ENSG00000276729.1,Metazoa_SRP
ENSG00000276735.1,Metazoa_SRP
ENSG00000276746.1,Metazoa_SRP
ENSG00000276764.1,Metazoa_SRP
ENSG00000276782.1,Metazoa_SRP
ENSG00000276800.1,Metazoa_SRP
ENSG00000276823.1,Metazoa_SRP
ENSG00000276839.1,Metazoa_SRP
ENSG00000276890.1,Metazoa_SRP
ENSG00000276918.1,Metazoa_SRP
ENSG00000276955.1,Metazoa_SRP
ENSG00000276988.1,Metazoa_SRP
ENSG00000277001.1,Metazoa_SRP
ENSG00000277039.1,Metazoa_SRP
ENSG00000277051.1,Metazoa_SRP
ENSG00000277118.1,Metazoa_SRP
ENSG00000277127.1,Metazoa_SRP
ENSG00000277136.1,Metazoa_SRP
ENSG00000277141.1,Metazoa_SRP
ENSG00000277168.1,Metazoa_SRP
ENSG00000277233.1,Metazoa_SRP
ENSG00000277250.1,Metazoa_SRP
ENSG00000277308.1,Metazoa_SRP
ENSG00000277371.1,Metazoa_SRP
ENSG00000277385.1,Metazoa_SRP
ENSG00000277396.1,Metazoa_SRP
ENSG00000277455.1,Metazoa_SRP
ENSG00000277473.1,Metazoa_SRP
ENSG00000277510.1,Metazoa_SRP
ENSG00000277592.1,Metazoa_SRP
ENSG00000277605.1,Metazoa_SRP
ENSG00000277617.1,Metazoa_SRP
ENSG00000277628.1,Metazoa_SRP
ENSG00000277635.1,Metazoa_SRP
ENSG00000277668.1,Metazoa_SRP
ENSG00000277677.1,Metazoa_SRP
ENSG00000277721.1,Metazoa_SRP
ENSG00000277740.1,Metazoa_SRP
ENSG00000277771.1,Metazoa_SRP
ENSG00000277794.1,Metazoa_SRP
ENSG00000277900.1,Metazoa_SRP
ENSG00000277950.1,Metazoa_SRP
ENSG00000277958.1,Metazoa_SRP
ENSG00000277965.1,Metazoa_SRP
ENSG00000278007.1,Metazoa_SRP
ENSG00000278100.1,Metazoa_SRP
ENSG00000278109.1,Metazoa_SRP
ENSG00000278172.1,Metazoa_SRP
ENSG00000278226.1,Metazoa_SRP
ENSG00000278250.1,Metazoa_SRP
ENSG00000278348.1,Metazoa_SRP
ENSG00000278459.1,Metazoa_SRP
ENSG00000278469.1,Metazoa_SRP
ENSG00000278554.1,Metazoa_SRP
ENSG00000278569.1,Metazoa_SRP
ENSG00000278636.1,Metazoa_SRP
ENSG00000278640.1,Metazoa_SRP
ENSG00000278700.1,Metazoa_SRP
ENSG00000278701.1,Metazoa_SRP
ENSG00000278702.1,Metazoa_SRP
ENSG00000278724.1,Metazoa_SRP
ENSG00000278732.1,Metazoa_SRP
ENSG00000278764.1,Metazoa_SRP
ENSG00000278770.1,Metazoa_SRP
ENSG00000278785.1,Metazoa_SRP
ENSG00000278794.1,Metazoa_SRP
ENSG00000278818.1,Metazoa_SRP
ENSG00000278838.1,Metazoa_SRP
ENSG00000280502.1,Metazoa_SRP
ENSG00000283389.1,Metazoa_SRP
ENSG00000283438.1,Metazoa_SRP
ENSG00000283636.1,Metazoa_SRP
ENSG00000274487.3,NPEPPSP1
ENSG00000182162.11_PAR_Y,P2RY8
ENSG00000182378.15_PAR_Y,PLCXD1
ENSG00000167393.18_PAR_Y,PPP2R3B
ENSG00000268592.3,RAET1E-AS1
ENSG00000232995.7,RGS5
ENSG00000223274.6_PAR_Y,RNA5SP498
ENSG00000225661.7_PAR_Y,RPL14P5
ENSG00000185960.15_PAR_Y,SHOX
ENSG00000105501.12,SIGLEC5
ENSG00000169100.14_PAR_Y,SLC25A6
ENSG00000201542.1,SNORA62
ENSG00000201980.1,SNORA62
ENSG00000202363.1,SNORA62
ENSG00000252443.1,SNORA62
ENSG00000272015.1,SNORA62
ENSG00000199473.1,SNORA63
ENSG00000199633.1,SNORA63
ENSG00000200320.1,SNORA63
ENSG00000201791.1,SNORA63
ENSG00000202449.1,SNORA63
ENSG00000252448.1,SNORA63
ENSG00000201376.1,SNORA70
ENSG00000201945.1,SNORA70
ENSG00000202379.1,SNORA70
ENSG00000202389.1,SNORA70
ENSG00000206661.1,SNORA70
ENSG00000206886.1,SNORA70
ENSG00000206958.1,SNORA70
ENSG00000207098.1,SNORA70
ENSG00000207165.1,SNORA70
ENSG00000207244.1,SNORA70
ENSG00000251796.1,SNORA70
ENSG00000251893.2,SNORA70
ENSG00000251925.1,SNORA70
ENSG00000252014.1,SNORA70
ENSG00000252133.1,SNORA70
ENSG00000252199.1,SNORA70
ENSG00000252258.1,SNORA70
ENSG00000252505.1,SNORA70
ENSG00000252526.1,SNORA70
ENSG00000252657.1,SNORA70
ENSG00000252724.1,SNORA70
ENSG00000252969.1,SNORA70
ENSG00000253027.1,SNORA70
ENSG00000253042.1,SNORA70
ENSG00000276094.1,SNORA70
ENSG00000278010.1,SNORA70
ENSG00000201811.1,SNORA71
ENSG00000201898.1,SNORA72
ENSG00000201944.1,SNORA72
ENSG00000206901.1,SNORA72
ENSG00000207084.1,SNORA72
ENSG00000207249.1,SNORA72
ENSG00000252158.1,SNORA72
ENSG00000201816.1,SNORA73
ENSG00000222145.1,SNORA73
ENSG00000253090.2,SNORA73
ENSG00000252129.1,SNORA74
ENSG00000252305.1,SNORA74
ENSG00000252917.1,SNORA74
ENSG00000212432.1,SNORA75
ENSG00000212440.1,SNORA75
ENSG00000212533.1,SNORA75
ENSG00000212580.1,SNORA75
ENSG00000212593.1,SNORA75
ENSG00000212620.1,SNORA75
ENSG00000212428.1,SNORD115
ENSG00000212553.1,SNORD116
ENSG00000252985.1,SNORD116
ENSG00000238503.1,SNORD18
ENSG00000252022.1,SNORD33
ENSG00000264379.1,SNORD39
ENSG00000264997.1,SNORD39
ENSG00000274535.1,SNORD39
ENSG00000202440.1,SNORD42
ENSG00000251987.1,SNORD63
ENSG00000252112.1,SNORD63
ENSG00000202023.1,SNORD81
ENSG00000212278.1,SNORD81
ENSG00000228741.2,SPATA13
ENSG00000285053.1,TBCE
ENSG00000269226.7,TMSB15B
ENSG00000223484.7_PAR_Y,TRPC6P
ENSG00000273727.1,U1
ENSG00000275631.1,U1
ENSG00000273709.1,U2
ENSG00000274062.1,U2
ENSG00000274432.1,U2
ENSG00000274452.1,U2
ENSG00000274755.1,U2
ENSG00000274862.1,U2
ENSG00000275219.1,U2
ENSG00000275616.1,U2
ENSG00000276596.1,U2
ENSG00000277248.1,U2
ENSG00000277903.1,U2
ENSG00000278048.1,U2
ENSG00000278135.1,U2
ENSG00000278234.1,U2
ENSG00000278591.1,U2
ENSG00000278774.1,U2
ENSG00000283519.1,U2
ENSG00000283555.1,U2
ENSG00000199851.2,U3
ENSG00000199856.2,U3
ENSG00000200222.2,U3
ENSG00000200492.2,U3
ENSG00000200538.2,U3
ENSG00000200545.2,U3
ENSG00000200693.2,U3
ENSG00000201329.2,U3
ENSG00000201346.2,U3
ENSG00000201368.2,U3
ENSG00000202233.2,U3
ENSG00000202268.2,U3
ENSG00000207119.2,U3
ENSG00000212165.2,U3
ENSG00000212182.2,U3
ENSG00000212195.2,U3
ENSG00000212211.2,U3
ENSG00000212321.2,U3
ENSG00000212422.2,U3
ENSG00000212434.2,U3
ENSG00000212479.2,U3
ENSG00000212511.2,U3
ENSG00000212538.2,U3
ENSG00000212539.2,U3
ENSG00000212551.2,U3
ENSG00000212598.2,U3
ENSG00000212610.2,U3
ENSG00000221040.2,U3
ENSG00000221043.2,U3
ENSG00000221044.2,U3
ENSG00000221332.2,U3
ENSG00000221345.2,U3
ENSG00000221455.2,U3
ENSG00000221461.2,U3
ENSG00000221633.2,U3
ENSG00000221638.2,U3
ENSG00000221673.2,U3
ENSG00000222666.2,U3
ENSG00000238297.2,U3
ENSG00000271817.2,U3
ENSG00000273788.1,U3
ENSG00000275154.1,U3
ENSG00000276366.1,U3
ENSG00000277754.1,U3
ENSG00000273744.1,U4
ENSG00000274197.1,U4
ENSG00000274716.1,U4
ENSG00000276103.1,U4
ENSG00000277986.1,U4
ENSG00000283442.1,U4
ENSG00000275068.1,U6
ENSG00000275174.1,U6
ENSG00000276138.1,U6
ENSG00000276183.1,U6
ENSG00000277613.1,U6
ENSG00000277717.1,U6
ENSG00000278188.1,U6
ENSG00000278757.1,U6
ENSG00000283136.1,U6
ENSG00000283249.1,U6
ENSG00000283256.1,U6
ENSG00000283262.1,U6
ENSG00000283271.1,U6
ENSG00000283290.1,U6
ENSG00000283300.1,U6
ENSG00000283313.1,U6
ENSG00000283337.1,U6
ENSG00000283369.1,U6
ENSG00000283372.1,U6
ENSG00000283412.1,U6
ENSG00000283414.1,U6
ENSG00000283418.1,U6
ENSG00000283432.1,U6
ENSG00000283489.1,U6
ENSG00000283499.1,U6
ENSG00000283502.1,U6
ENSG00000283509.1,U6
ENSG00000283527.1,U6
ENSG00000283545.1,U6
ENSG00000283564.1,U6
ENSG00000283575.1,U6
ENSG00000283666.1,U6
ENSG00000273629.1,U7
ENSG00000275108.1,U7
ENSG00000275268.1,U7
ENSG00000275504.1,U7
ENSG00000275635.1,U7
ENSG00000200026.1,U8
ENSG00000200191.1,U8
ENSG00000200496.1,U8
ENSG00000201398.1,U8
ENSG00000201809.1,U8
ENSG00000201810.1,U8
ENSG00000202269.1,U8
ENSG00000202537.1,U8
ENSG00000206987.1,U8
ENSG00000207430.1,U8
ENSG00000207432.1,U8
ENSG00000212144.1,U8
ENSG00000212145.2,U8
ENSG00000212249.2,U8
ENSG00000212581.1,U8
ENSG00000212594.1,U8
ENSG00000238519.1,U8
ENSG00000238840.1,U8
ENSG00000238963.2,U8
ENSG00000239142.1,U8
ENSG00000239148.1,U8
ENSG00000124333.16_PAR_Y,VAMP7
ENSG00000252485.1,Vault
ENSG00000182484.15_PAR_Y,WASH6P
ENSG00000185203.12_PAR_Y,WASIR1
ENSG00000199200.2,Y_RNA
ENSG00000199201.1,Y_RNA
ENSG00000199203.1,Y_RNA
ENSG00000199204.1,Y_RNA
ENSG00000199220.1,Y_RNA
ENSG00000199222.1,Y_RNA
ENSG00000199223.1,Y_RNA
ENSG00000199224.1,Y_RNA
ENSG00000199241.1,Y_RNA
ENSG00000199245.1,Y_RNA
ENSG00000199263.1,Y_RNA
ENSG00000199285.1,Y_RNA
ENSG00000199290.1,Y_RNA
ENSG00000199291.1,Y_RNA
ENSG00000199303.1,Y_RNA
ENSG00000199331.1,Y_RNA
ENSG00000199332.1,Y_RNA
ENSG00000199349.1,Y_RNA
ENSG00000199357.1,Y_RNA
ENSG00000199362.1,Y_RNA
ENSG00000199366.1,Y_RNA
ENSG00000199378.1,Y_RNA
ENSG00000199398.1,Y_RNA
ENSG00000199409.1,Y_RNA
ENSG00000199410.1,Y_RNA
ENSG00000199424.1,Y_RNA
ENSG00000199440.1,Y_RNA
ENSG00000199442.1,Y_RNA
ENSG00000199444.1,Y_RNA
ENSG00000199459.1,Y_RNA
ENSG00000199461.1,Y_RNA
ENSG00000199466.1,Y_RNA
ENSG00000199471.1,Y_RNA
ENSG00000199472.1,Y_RNA
ENSG00000199476.1,Y_RNA
ENSG00000199487.1,Y_RNA
ENSG00000199490.1,Y_RNA
ENSG00000199515.1,Y_RNA
ENSG00000199516.1,Y_RNA
ENSG00000199530.1,Y_RNA
ENSG00000199540.1,Y_RNA
ENSG00000199550.1,Y_RNA
ENSG00000199565.1,Y_RNA
ENSG00000199567.1,Y_RNA
ENSG00000199580.1,Y_RNA
ENSG00000199584.1,Y_RNA
ENSG00000199591.1,Y_RNA
ENSG00000199595.1,Y_RNA
ENSG00000199630.1,Y_RNA
ENSG00000199635.1,Y_RNA
ENSG00000199636.1,Y_RNA
ENSG00000199667.1,Y_RNA
ENSG00000199668.1,Y_RNA
ENSG00000199676.1,Y_RNA
ENSG00000199677.1,Y_RNA
ENSG00000199698.1,Y_RNA
ENSG00000199701.1,Y_RNA
ENSG00000199705.1,Y_RNA
ENSG00000199710.1,Y_RNA
ENSG00000199711.1,Y_RNA
ENSG00000199715.1,Y_RNA
ENSG00000199716.1,Y_RNA
ENSG00000199732.1,Y_RNA
ENSG00000199740.1,Y_RNA
ENSG00000199751.1,Y_RNA
ENSG00000199755.1,Y_RNA
ENSG00000199756.1,Y_RNA
ENSG00000199762.1,Y_RNA
ENSG00000199764.1,Y_RNA
ENSG00000199780.1,Y_RNA
ENSG00000199781.1,Y_RNA
ENSG00000199797.1,Y_RNA
ENSG00000199801.1,Y_RNA
ENSG00000199832.1,Y_RNA
ENSG00000199840.1,Y_RNA
ENSG00000199862.1,Y_RNA
ENSG00000199866.1,Y_RNA
ENSG00000199867.1,Y_RNA
ENSG00000199870.1,Y_RNA
ENSG00000199875.1,Y_RNA
ENSG00000199881.1,Y_RNA
ENSG00000199884.1,Y_RNA
ENSG00000199890.1,Y_RNA
ENSG00000199895.1,Y_RNA
ENSG00000199899.2,Y_RNA
ENSG00000199901.1,Y_RNA
ENSG00000199911.1,Y_RNA
ENSG00000199912.1,Y_RNA
ENSG00000199913.1,Y_RNA
ENSG00000199936.1,Y_RNA
ENSG00000199938.1,Y_RNA
ENSG00000199949.2,Y_RNA
ENSG00000199962.1,Y_RNA
ENSG00000199964.1,Y_RNA
ENSG00000199979.1,Y_RNA
ENSG00000200008.1,Y_RNA
ENSG00000200011.1,Y_RNA
ENSG00000200024.1,Y_RNA
ENSG00000200040.1,Y_RNA
ENSG00000200041.1,Y_RNA
ENSG00000200049.1,Y_RNA
ENSG00000200052.1,Y_RNA
ENSG00000200059.1,Y_RNA
ENSG00000200060.1,Y_RNA
ENSG00000200065.1,Y_RNA
ENSG00000200085.1,Y_RNA
ENSG00000200090.1,Y_RNA
ENSG00000200118.1,Y_RNA
ENSG00000200120.1,Y_RNA
ENSG00000200135.1,Y_RNA
ENSG00000200142.1,Y_RNA
ENSG00000200162.1,Y_RNA
ENSG00000200164.1,Y_RNA
ENSG00000200170.1,Y_RNA
ENSG00000200171.1,Y_RNA
