gene_symbol	in_data	note
DPEP1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
STRA6	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
TMEM196	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
MUCL1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
GJB2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
TOMM40P2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
SCG2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
SFRP2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
DACT2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
CACNA1B	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
TMPRSS2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
TTC36	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
LINGO2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
KRT223P	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
LINC01013	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
CEMIP	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
C9orf152	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000287979	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
POU2F3	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
NNAT	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
KRT14	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
LINC01152	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
SERPINB7	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
FOLH1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
DMP1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
HBA2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
PCSK9	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
PPFIA4	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000277128	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
KRT81	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
PROK2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
KRT7-AS	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
CNGA3	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
S100A12	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
CPZ	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
KRT19	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
COL11A1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
TNS4	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
MGAT4C	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ARHGAP40	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
OTX1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
LINC00922	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ANKRD22	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000262202	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000279806	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000231412	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
GABRP	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ACAN	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
KRT17	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
PLEKHS1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ASB5	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
F2RL2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000236961	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
AQP7P4	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
HMGB3P7	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
LYPD6B	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
CD177	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
SEL1L2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
LINC01048	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000260166	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ERICH3	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
XDH	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
PI15	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000205037	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
MMP3	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
DPYS	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
GPR12	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
IGHV3-30	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ENSG00000288943	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
RXFP1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
MSLN	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
GAL3ST2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
FNDC1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
TFAP2A-AS1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
C5orf46	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
ROS1	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
BARX2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
PRR15L	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
TTC6	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
HSD17B2	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
GALNT5	TRUE	Menopause signature from Approach 1 (Improved Age Proxy)
